1:65 -> K: 23 | acc: 59.199999999999996
1:66 -> K: 22 | acc: 60.0
1:67 -> K: 22 | acc: 60.0
1:68 -> K: 20 | acc: 63.2
1:69 -> K: 21 | acc: 63.2
1:70 -> K: 20 | acc: 61.6
1:71 -> K: 21 | acc: 63.2
1:72 -> K: 22 | acc: 62.4
1:73 -> K: 21 | acc: 62.4
1:74 -> K: 22 | acc: 62.4
1:75 -> K: 20 | acc: 63.2
1:76 -> K: 20 | acc: 70.39999999999999
1:77 -> K: 21 | acc: 70.39999999999999
1:78 -> K: 23 | acc: 70.39999999999999
1:79 -> K: 21 | acc: 72.0
1:80 -> K: 21 | acc: 72.0
1:81 -> K: 23 | acc: 71.2
1:82 -> K: 22 | acc: 72.0
1:83 -> K: 22 | acc: 71.2
1:84 -> K: 22 | acc: 71.2
1:85 -> K: 20 | acc: 71.2
1:86 -> K: 23 | acc: 72.8
1:87 -> K: 24 | acc: 73.6
1:88 -> K: 21 | acc: 73.6
1:89 -> K: 21 | acc: 73.6
1:90 -> K: 21 | acc: 72.8
1:91 -> K: 22 | acc: 73.6
1:92 -> K: 22 | acc: 73.6
1:93 -> K: 23 | acc: 72.8
1:94 -> K: 23 | acc: 72.8
1:95 -> K: 20 | acc: 72.8
1:96 -> K: 20 | acc: 72.8
1:97 -> K: 20 | acc: 73.6
1:98 -> K: 23 | acc: 73.6
1:99 -> K: 23 | acc: 73.6
1:100 -> K: 23 | acc: 76.0
1:101 -> K: 22 | acc: 75.2
1:102 -> K: 22 | acc: 75.2
1:103 -> K: 24 | acc: 75.2
1:104 -> K: 23 | acc: 74.4
1:105 -> K: 24 | acc: 75.2
1:106 -> K: 23 | acc: 74.4
1:107 -> K: 23 | acc: 74.4
1:108 -> K: 23 | acc: 74.4
1:109 -> K: 23 | acc: 76.0
1:110 -> K: 23 | acc: 76.0
1:111 -> K: 23 | acc: 76.0
1:112 -> K: 20 | acc: 74.4
1:113 -> K: 22 | acc: 73.6
1:114 -> K: 22 | acc: 75.2
1:115 -> K: 22 | acc: 74.4
1:116 -> K: 22 | acc: 74.4
1:117 -> K: 22 | acc: 74.4
1:118 -> K: 22 | acc: 74.4
1:119 -> K: 22 | acc: 75.2
1:120 -> K: 20 | acc: 73.6
1:121 -> K: 22 | acc: 74.4
1:122 -> K: 22 | acc: 74.4
1:123 -> K: 20 | acc: 74.4
1:124 -> K: 20 | acc: 75.2
1:125 -> K: 20 | acc: 75.2
1:126 -> K: 20 | acc: 74.4
1:127 -> K: 20 | acc: 75.2
1:128 -> K: 20 | acc: 74.4
1:129 -> K: 20 | acc: 76.0
1:130 -> K: 20 | acc: 75.2
1:131 -> K: 20 | acc: 75.2
1:132 -> K: 20 | acc: 76.0
1:133 -> K: 20 | acc: 76.0
1:134 -> K: 20 | acc: 76.8
1:135 -> K: 20 | acc: 76.8
1:136 -> K: 20 | acc: 77.60000000000001
1:137 -> K: 20 | acc: 76.0
1:138 -> K: 24 | acc: 76.8
1:139 -> K: 24 | acc: 77.60000000000001
1:140 -> K: 22 | acc: 77.60000000000001
1:141 -> K: 22 | acc: 78.4
1:142 -> K: 20 | acc: 76.8
1:143 -> K: 20 | acc: 76.8
1:144 -> K: 21 | acc: 77.60000000000001
1:145 -> K: 21 | acc: 77.60000000000001
1:146 -> K: 20 | acc: 77.60000000000001
1:147 -> K: 20 | acc: 77.60000000000001
1:148 -> K: 21 | acc: 76.8
1:149 -> K: 20 | acc: 76.8
1:150 -> K: 21 | acc: 76.8
1:151 -> K: 22 | acc: 79.2
1:152 -> K: 21 | acc: 79.2
1:153 -> K: 23 | acc: 79.2
1:154 -> K: 23 | acc: 79.2
1:155 -> K: 22 | acc: 78.4
1:156 -> K: 21 | acc: 79.2
1:157 -> K: 21 | acc: 79.2
1:158 -> K: 21 | acc: 79.2
1:159 -> K: 21 | acc: 79.2
1:160 -> K: 21 | acc: 79.2
1:161 -> K: 21 | acc: 79.2
1:162 -> K: 21 | acc: 79.2
1:163 -> K: 21 | acc: 79.2
1:164 -> K: 22 | acc: 78.4
1:165 -> K: 22 | acc: 78.4
1:166 -> K: 22 | acc: 78.4
1:167 -> K: 21 | acc: 78.4
1:168 -> K: 21 | acc: 77.60000000000001
1:169 -> K: 22 | acc: 78.4
1:170 -> K: 22 | acc: 78.4
1:171 -> K: 22 | acc: 78.4
1:172 -> K: 22 | acc: 78.4
1:173 -> K: 22 | acc: 78.4
1:174 -> K: 22 | acc: 78.4
1:175 -> K: 20 | acc: 77.60000000000001
1:176 -> K: 22 | acc: 78.4
1:177 -> K: 22 | acc: 78.4
1:178 -> K: 22 | acc: 78.4
1:179 -> K: 22 | acc: 78.4
1:180 -> K: 22 | acc: 78.4
1:181 -> K: 22 | acc: 78.4
1:182 -> K: 24 | acc: 78.4
1:183 -> K: 20 | acc: 77.60000000000001
1:184 -> K: 24 | acc: 78.4
1:185 -> K: 20 | acc: 77.60000000000001
1:186 -> K: 20 | acc: 77.60000000000001
1:187 -> K: 20 | acc: 77.60000000000001
1:188 -> K: 24 | acc: 78.4
1:189 -> K: 20 | acc: 77.60000000000001
1:190 -> K: 20 | acc: 77.60000000000001
1:191 -> K: 20 | acc: 77.60000000000001
1:192 -> K: 20 | acc: 77.60000000000001
1:193 -> K: 21 | acc: 78.4
1:194 -> K: 20 | acc: 78.4
1:195 -> K: 20 | acc: 78.4
1:196 -> K: 20 | acc: 78.4
1:197 -> K: 20 | acc: 78.4
1:198 -> K: 20 | acc: 78.4
1:199 -> K: 21 | acc: 78.4
1:200 -> K: 21 | acc: 78.4
1:201 -> K: 21 | acc: 78.4
1:202 -> K: 21 | acc: 78.4
1:203 -> K: 21 | acc: 77.60000000000001
1:204 -> K: 20 | acc: 77.60000000000001
