1:65 -> K: 22 | acc: 48.0
1:66 -> K: 20 | acc: 47.199999999999996
1:67 -> K: 20 | acc: 48.0
1:68 -> K: 21 | acc: 51.2
1:69 -> K: 24 | acc: 52.800000000000004
1:70 -> K: 21 | acc: 52.800000000000004
1:71 -> K: 20 | acc: 50.4
1:72 -> K: 20 | acc: 51.2
1:73 -> K: 24 | acc: 50.4
1:74 -> K: 24 | acc: 48.0
1:75 -> K: 24 | acc: 49.6
1:76 -> K: 24 | acc: 50.4
1:77 -> K: 21 | acc: 50.4
1:78 -> K: 23 | acc: 52.0
1:79 -> K: 24 | acc: 50.4
1:80 -> K: 22 | acc: 50.4
1:81 -> K: 20 | acc: 50.4
1:82 -> K: 24 | acc: 52.0
1:83 -> K: 24 | acc: 54.400000000000006
1:84 -> K: 24 | acc: 52.0
1:85 -> K: 24 | acc: 52.0
1:86 -> K: 23 | acc: 50.4
1:87 -> K: 23 | acc: 52.0
1:88 -> K: 24 | acc: 54.400000000000006
1:89 -> K: 21 | acc: 52.0
1:90 -> K: 20 | acc: 50.4
1:91 -> K: 23 | acc: 52.0
1:92 -> K: 23 | acc: 52.800000000000004
1:93 -> K: 23 | acc: 52.0
1:94 -> K: 24 | acc: 51.2
1:95 -> K: 23 | acc: 49.6
1:96 -> K: 22 | acc: 49.6
1:97 -> K: 24 | acc: 51.2
1:98 -> K: 24 | acc: 50.4
1:99 -> K: 24 | acc: 49.6
1:100 -> K: 22 | acc: 46.400000000000006
1:101 -> K: 23 | acc: 48.8
1:102 -> K: 22 | acc: 48.0
1:103 -> K: 22 | acc: 48.8
1:104 -> K: 22 | acc: 48.8
1:105 -> K: 24 | acc: 49.6
1:106 -> K: 24 | acc: 48.0
1:107 -> K: 23 | acc: 47.199999999999996
1:108 -> K: 24 | acc: 52.0
1:109 -> K: 24 | acc: 54.400000000000006
1:110 -> K: 20 | acc: 50.4
1:111 -> K: 24 | acc: 51.2
1:112 -> K: 22 | acc: 48.8
1:113 -> K: 24 | acc: 48.0
1:114 -> K: 22 | acc: 47.199999999999996
1:115 -> K: 24 | acc: 50.4
1:116 -> K: 23 | acc: 46.400000000000006
1:117 -> K: 23 | acc: 48.8
1:118 -> K: 23 | acc: 49.6
1:119 -> K: 23 | acc: 48.8
1:120 -> K: 23 | acc: 48.0
1:121 -> K: 23 | acc: 50.4
1:122 -> K: 24 | acc: 50.4
1:123 -> K: 23 | acc: 48.0
1:124 -> K: 23 | acc: 48.8
1:125 -> K: 24 | acc: 48.8
1:126 -> K: 20 | acc: 47.199999999999996
1:127 -> K: 20 | acc: 49.6
1:128 -> K: 20 | acc: 47.199999999999996
1:129 -> K: 23 | acc: 50.4
1:130 -> K: 23 | acc: 47.199999999999996
1:131 -> K: 24 | acc: 46.400000000000006
1:132 -> K: 24 | acc: 47.199999999999996
1:133 -> K: 20 | acc: 44.800000000000004
1:134 -> K: 20 | acc: 45.6
1:135 -> K: 23 | acc: 46.400000000000006
1:136 -> K: 23 | acc: 44.800000000000004
1:137 -> K: 23 | acc: 45.6
1:138 -> K: 24 | acc: 44.800000000000004
1:139 -> K: 20 | acc: 44.800000000000004
1:140 -> K: 20 | acc: 43.2
1:141 -> K: 22 | acc: 47.199999999999996
1:142 -> K: 23 | acc: 45.6
1:143 -> K: 20 | acc: 44.0
1:144 -> K: 24 | acc: 44.800000000000004
1:145 -> K: 23 | acc: 42.4
1:146 -> K: 24 | acc: 42.4
1:147 -> K: 24 | acc: 46.400000000000006
1:148 -> K: 24 | acc: 44.800000000000004
1:149 -> K: 24 | acc: 48.8
1:150 -> K: 24 | acc: 44.800000000000004
1:151 -> K: 24 | acc: 44.800000000000004
1:152 -> K: 21 | acc: 43.2
1:153 -> K: 24 | acc: 41.6
1:154 -> K: 24 | acc: 44.0
1:155 -> K: 21 | acc: 42.4
1:156 -> K: 24 | acc: 43.2
1:157 -> K: 20 | acc: 40.8
1:158 -> K: 22 | acc: 40.8
1:159 -> K: 20 | acc: 40.8
1:160 -> K: 20 | acc: 40.8
1:161 -> K: 21 | acc: 40.0
1:162 -> K: 24 | acc: 40.0
1:163 -> K: 24 | acc: 39.2
1:164 -> K: 24 | acc: 38.4
1:165 -> K: 22 | acc: 38.4
1:166 -> K: 20 | acc: 36.0
1:167 -> K: 22 | acc: 35.199999999999996
1:168 -> K: 24 | acc: 35.199999999999996
1:169 -> K: 24 | acc: 36.8
1:170 -> K: 24 | acc: 40.0
1:171 -> K: 24 | acc: 36.0
1:172 -> K: 21 | acc: 33.6
1:173 -> K: 20 | acc: 33.6
1:174 -> K: 24 | acc: 34.4
1:175 -> K: 22 | acc: 35.199999999999996
1:176 -> K: 21 | acc: 35.199999999999996
1:177 -> K: 24 | acc: 36.0
1:178 -> K: 22 | acc: 36.0
1:179 -> K: 22 | acc: 36.0
1:180 -> K: 24 | acc: 35.199999999999996
1:181 -> K: 22 | acc: 35.199999999999996
1:182 -> K: 21 | acc: 34.4
1:183 -> K: 24 | acc: 35.199999999999996
1:184 -> K: 24 | acc: 34.4
1:185 -> K: 24 | acc: 36.0
1:186 -> K: 24 | acc: 35.199999999999996
1:187 -> K: 23 | acc: 36.8
1:188 -> K: 23 | acc: 33.6
1:189 -> K: 21 | acc: 33.6
1:190 -> K: 21 | acc: 34.4
1:191 -> K: 20 | acc: 32.800000000000004
1:192 -> K: 23 | acc: 33.6
1:193 -> K: 24 | acc: 33.6
1:194 -> K: 23 | acc: 33.6
1:195 -> K: 20 | acc: 32.800000000000004
1:196 -> K: 22 | acc: 36.0
1:197 -> K: 23 | acc: 33.6
1:198 -> K: 24 | acc: 35.199999999999996
1:199 -> K: 24 | acc: 36.8
1:200 -> K: 24 | acc: 36.0
1:201 -> K: 24 | acc: 36.8
1:202 -> K: 20 | acc: 36.8
1:203 -> K: 20 | acc: 36.0
1:204 -> K: 20 | acc: 36.0
1:205 -> K: 24 | acc: 36.0
1:206 -> K: 21 | acc: 36.0
1:207 -> K: 21 | acc: 36.0
1:208 -> K: 22 | acc: 36.0
1:209 -> K: 20 | acc: 35.199999999999996
1:210 -> K: 20 | acc: 36.0
1:211 -> K: 21 | acc: 35.199999999999996
1:212 -> K: 20 | acc: 36.0
1:213 -> K: 21 | acc: 35.199999999999996
1:214 -> K: 23 | acc: 36.0
1:215 -> K: 23 | acc: 36.0
1:216 -> K: 20 | acc: 35.199999999999996
1:217 -> K: 20 | acc: 36.0
1:218 -> K: 23 | acc: 35.199999999999996
1:219 -> K: 20 | acc: 35.199999999999996
1:220 -> K: 20 | acc: 35.199999999999996
1:221 -> K: 20 | acc: 35.199999999999996
1:222 -> K: 20 | acc: 34.4
1:223 -> K: 23 | acc: 35.199999999999996
1:224 -> K: 23 | acc: 35.199999999999996
1:225 -> K: 23 | acc: 36.0
1:226 -> K: 23 | acc: 36.0
1:227 -> K: 23 | acc: 36.0
1:228 -> K: 23 | acc: 35.199999999999996
1:229 -> K: 23 | acc: 36.0
1:230 -> K: 23 | acc: 35.199999999999996
1:231 -> K: 24 | acc: 35.199999999999996
1:232 -> K: 24 | acc: 35.199999999999996
1:233 -> K: 24 | acc: 35.199999999999996
1:234 -> K: 24 | acc: 35.199999999999996
1:235 -> K: 23 | acc: 35.199999999999996
1:236 -> K: 23 | acc: 35.199999999999996
1:237 -> K: 23 | acc: 35.199999999999996
1:238 -> K: 23 | acc: 35.199999999999996
1:239 -> K: 23 | acc: 35.199999999999996
1:240 -> K: 23 | acc: 35.199999999999996
2:65 -> K: 23 | acc: 47.199999999999996
2:66 -> K: 24 | acc: 48.8
2:67 -> K: 20 | acc: 50.4
2:68 -> K: 24 | acc: 53.6
2:69 -> K: 23 | acc: 51.2
2:70 -> K: 20 | acc: 51.2
2:71 -> K: 23 | acc: 50.4
2:72 -> K: 22 | acc: 49.6
2:73 -> K: 22 | acc: 48.8
2:74 -> K: 20 | acc: 48.8
2:75 -> K: 23 | acc: 50.4
2:76 -> K: 24 | acc: 52.800000000000004
2:77 -> K: 24 | acc: 52.800000000000004
2:78 -> K: 23 | acc: 53.6
2:79 -> K: 20 | acc: 51.2
2:80 -> K: 24 | acc: 54.400000000000006
2:81 -> K: 21 | acc: 52.0
2:82 -> K: 24 | acc: 51.2
2:83 -> K: 20 | acc: 52.0
2:84 -> K: 24 | acc: 50.4
2:85 -> K: 22 | acc: 50.4
2:86 -> K: 23 | acc: 52.0
2:87 -> K: 20 | acc: 53.6
2:88 -> K: 20 | acc: 54.400000000000006
2:89 -> K: 21 | acc: 54.400000000000006
2:90 -> K: 20 | acc: 52.800000000000004
2:91 -> K: 20 | acc: 52.800000000000004
2:92 -> K: 24 | acc: 51.2
2:93 -> K: 24 | acc: 52.0
2:94 -> K: 24 | acc: 51.2
2:95 -> K: 24 | acc: 53.6
2:96 -> K: 24 | acc: 53.6
2:97 -> K: 24 | acc: 54.400000000000006
2:98 -> K: 24 | acc: 52.0
2:99 -> K: 24 | acc: 52.800000000000004
2:100 -> K: 23 | acc: 50.4
2:101 -> K: 23 | acc: 52.800000000000004
2:102 -> K: 23 | acc: 52.0
2:103 -> K: 23 | acc: 52.800000000000004
2:104 -> K: 22 | acc: 53.6
2:105 -> K: 23 | acc: 51.2
2:106 -> K: 23 | acc: 51.2
2:107 -> K: 23 | acc: 51.2
2:108 -> K: 23 | acc: 50.4
2:109 -> K: 22 | acc: 49.6
2:110 -> K: 24 | acc: 49.6
2:111 -> K: 23 | acc: 51.2
2:112 -> K: 21 | acc: 50.4
2:113 -> K: 24 | acc: 52.0
2:114 -> K: 23 | acc: 52.800000000000004
2:115 -> K: 23 | acc: 52.0
2:116 -> K: 22 | acc: 48.0
2:117 -> K: 24 | acc: 49.6
2:118 -> K: 24 | acc: 48.8
2:119 -> K: 23 | acc: 47.199999999999996
2:120 -> K: 23 | acc: 47.199999999999996
2:121 -> K: 22 | acc: 48.0
2:122 -> K: 24 | acc: 48.0
2:123 -> K: 24 | acc: 50.4
2:124 -> K: 24 | acc: 48.8
2:125 -> K: 24 | acc: 48.0
2:126 -> K: 24 | acc: 48.0
2:127 -> K: 24 | acc: 48.8
2:128 -> K: 23 | acc: 49.6
