1:65 -> K: 22 | acc: 34.4
1:66 -> K: 23 | acc: 35.199999999999996
1:67 -> K: 20 | acc: 32.800000000000004
1:68 -> K: 22 | acc: 32.800000000000004
1:69 -> K: 20 | acc: 32.0
1:70 -> K: 20 | acc: 33.6
1:71 -> K: 20 | acc: 33.6
1:72 -> K: 20 | acc: 32.800000000000004
1:73 -> K: 20 | acc: 33.6
1:74 -> K: 22 | acc: 32.0
1:75 -> K: 20 | acc: 32.800000000000004
1:76 -> K: 24 | acc: 40.8
1:77 -> K: 23 | acc: 39.2
1:78 -> K: 24 | acc: 40.0
1:79 -> K: 24 | acc: 40.0
1:80 -> K: 24 | acc: 40.8
1:81 -> K: 24 | acc: 40.0
1:82 -> K: 21 | acc: 39.2
1:83 -> K: 24 | acc: 40.0
1:84 -> K: 21 | acc: 39.2
1:85 -> K: 21 | acc: 40.0
1:86 -> K: 21 | acc: 40.8
1:87 -> K: 24 | acc: 40.0
1:88 -> K: 24 | acc: 40.0
1:89 -> K: 21 | acc: 40.8
1:90 -> K: 24 | acc: 40.8
1:91 -> K: 21 | acc: 40.0
1:92 -> K: 21 | acc: 41.6
1:93 -> K: 21 | acc: 40.8
1:94 -> K: 21 | acc: 41.6
1:95 -> K: 21 | acc: 42.4
1:96 -> K: 21 | acc: 40.8
1:97 -> K: 21 | acc: 40.8
1:98 -> K: 21 | acc: 41.6
1:99 -> K: 21 | acc: 40.8
1:100 -> K: 21 | acc: 40.8
1:101 -> K: 22 | acc: 41.6
1:102 -> K: 20 | acc: 41.6
1:103 -> K: 20 | acc: 40.8
1:104 -> K: 20 | acc: 41.6
1:105 -> K: 22 | acc: 41.6
1:106 -> K: 20 | acc: 41.6
1:107 -> K: 20 | acc: 40.8
1:108 -> K: 22 | acc: 41.6
1:109 -> K: 22 | acc: 41.6
1:110 -> K: 24 | acc: 41.6
1:111 -> K: 22 | acc: 40.8
1:112 -> K: 22 | acc: 41.6
1:113 -> K: 21 | acc: 41.6
1:114 -> K: 21 | acc: 41.6
1:115 -> K: 21 | acc: 41.6
1:116 -> K: 20 | acc: 42.4
1:117 -> K: 20 | acc: 41.6
1:118 -> K: 21 | acc: 41.6
1:119 -> K: 20 | acc: 40.8
1:120 -> K: 24 | acc: 42.4
1:121 -> K: 22 | acc: 44.0
1:122 -> K: 22 | acc: 44.0
1:123 -> K: 23 | acc: 44.0
1:124 -> K: 23 | acc: 44.800000000000004
1:125 -> K: 21 | acc: 45.6
1:126 -> K: 21 | acc: 45.6
1:127 -> K: 21 | acc: 44.800000000000004
1:128 -> K: 21 | acc: 44.800000000000004
1:129 -> K: 21 | acc: 48.0
1:130 -> K: 21 | acc: 47.199999999999996
1:131 -> K: 21 | acc: 48.0
1:132 -> K: 21 | acc: 45.6
1:133 -> K: 21 | acc: 44.800000000000004
1:134 -> K: 24 | acc: 44.800000000000004
1:135 -> K: 23 | acc: 44.800000000000004
1:136 -> K: 23 | acc: 44.800000000000004
1:137 -> K: 21 | acc: 44.0
1:138 -> K: 24 | acc: 44.0
1:139 -> K: 23 | acc: 44.0
1:140 -> K: 20 | acc: 44.0
1:141 -> K: 20 | acc: 44.0
1:142 -> K: 21 | acc: 44.0
1:143 -> K: 21 | acc: 44.800000000000004
1:144 -> K: 21 | acc: 44.800000000000004
1:145 -> K: 21 | acc: 44.800000000000004
1:146 -> K: 20 | acc: 44.800000000000004
1:147 -> K: 20 | acc: 44.800000000000004
1:148 -> K: 21 | acc: 44.800000000000004
1:149 -> K: 21 | acc: 44.800000000000004
1:150 -> K: 21 | acc: 45.6
1:151 -> K: 21 | acc: 45.6
1:152 -> K: 21 | acc: 45.6
1:153 -> K: 21 | acc: 45.6
1:154 -> K: 21 | acc: 46.400000000000006
1:155 -> K: 21 | acc: 45.6
1:156 -> K: 21 | acc: 46.400000000000006
1:157 -> K: 21 | acc: 45.6
1:158 -> K: 23 | acc: 45.6
1:159 -> K: 23 | acc: 46.400000000000006
1:160 -> K: 21 | acc: 45.6
